Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
18-May-2017,213.45,213.85,206.60,207.70,210.506447030229725373,701098,4033,147585649.00,127461,18.18,7.25,-5.75
17-May-2017,212.00,215.80,210.35,214.40,213.590333496017262002,1104391,5967,235887242.00,122833,11.12,5.45,2.40
16-May-2017,210.00,213.35,208.40,212.25,211.259930253658242925,1162785,6668,245649878.00,87858,7.56,4.95,2.25
15-May-2017,209.10,211.75,207.35,210.00,210.105986580258722294,1395705,6875,293245976.00,173374,12.42,4.40,0.90
12-May-2017,202.90,209.40,197.20,207.95,203.952917182905166365,1607784,9322,327912237.00,168299,10.47,12.20,5.05
11-May-2017,200.40,206.30,199.10,202.85,203.840131701042473266,1562630,8430,318526705.00,170659,10.92,7.20,2.45
10-May-2017,200.40,201.30,196.30,199.40,198.991428237447646713,804152,4166,160019355.00,73507,9.14,5.00,-1.00
9-May-2017,198.70,203.35,198.15,199.25,200.562249866779368258,1360525,8110,272869955.00,188869,13.88,5.20,0.55
8-May-2017,186.20,198.45,183.20,196.85,193.450760665832103168,1898797,11030,367323724.00,186689,9.83,15.25,10.65
5-May-2017,187.00,188.75,182.50,185.70,185.373724790521861282,911909,4274,169043968.00,83900,9.20,6.25,-1.30
4-May-2017,190.45,191.35,183.95,186.70,186.604190910066272169,848169,4163,158271890.00,74938,8.84,7.40,-3.75
3-May-2017,190.00,193.45,187.20,190.45,191.095222278319559960,903192,6139,172595676.00,85534,9.47,6.25,0.45
2-May-2017,187.00,192.00,186.15,189.35,188.896848727883054688,1193994,6188,225541704.00,67552,5.66,5.85,2.35
28-April-2017,189.00,190.30,184.80,186.00,186.983097785317173005,765166,4572,143073109.00,62000,8.10,5.50,-3.00
27-April-2017,188.00,191.30,184.80,189.60,188.572373791316566425,984956,6730,185735491.00,64564,6.56,6.50,1.60
26-April-2017,195.00,196.60,180.15,187.45,189.259926196097145816,1818874,9609,344239959.00,185785,10.21,16.45,-7.55
25-April-2017,192.70,197.40,192.10,194.25,194.915952276811241325,1815302,10959,353831318.00,178050,9.81,5.30,1.55
24-April-2017,183.90,194.45,183.10,190.00,190.115509262277707306,3297623,16313,626929276.00,245356,7.44,11.35,6.10
21-April-2017,172.20,187.90,171.35,182.70,181.872129378712591209,5064017,29148,921003555.00,578801,11.43,16.55,10.50
20-April-2017,170.00,173.25,169.10,172.00,171.394408702260311852,1005348,4820,172311026.00,281553,28.01,4.15,2.00
19-April-2017,163.30,170.30,162.00,169.50,167.031620068365833791,1149112,6029,191938039.00,237001,20.62,8.30,6.20
18-April-2017,173.25,175.55,164.00,165.15,170.817564576284600621,1617312,8684,276265297.00,178584,11.04,11.55,-8.10
17-April-2017,159.50,173.60,158.00,172.60,167.952566440233159349,2809066,15637,471789844.00,345027,12.28,15.60,13.10
13-April-2017,160.00,161.75,158.60,159.70,159.973576405245939186,768442,3319,122930415.00,95000,12.36,3.15,-0.30
12-April-2017,159.25,162.15,156.00,159.95,159.386654102863495502,1198151,5703,190969279.00,88688,7.40,6.15,0.70
11-April-2017,154.90,160.70,154.90,159.35,158.999159922783321700,795165,5351,126430567.00,186364,23.44,5.80,4.45
10-April-2017,154.90,157.50,153.25,156.75,155.988901113799432671,767104,3938,119659710.00,133024,17.34,4.25,1.85
7-April-2017,157.00,159.30,153.00,154.00,156.772045829635511544,1027632,5514,161103971.00,215994,21.02,6.30,-3.00
6-April-2017,149.50,158.80,148.80,156.40,154.482202825822540792,2222291,10363,343304409.00,363281,16.35,10.00,6.90
5-April-2017,146.80,150.60,146.80,149.70,149.116837814859886308,719844,3358,107340861.00,175602,24.39,3.80,2.90
3-April-2017,149.00,149.10,146.15,146.80,147.482492736860947030,581016,2332,85689688.00,139547,24.02,2.95,-2.20
